a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
1	5	s11	s15	1372636	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000002	0.000002	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000005	0.000000	-1818591.902658	66	-1818592.517436	0.993951	4.725525e-01,1.814507e-01,2.084730e-02,1.564883e-01,1.045921e-01,1.799119e-02,2.085281e-02,1.920461e-02,6.020423e-03	0.398693	0.250920	0.036268	-2103352.415648	6
1	6	s11	s16	1372596	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000039	0.000001	0.000001	0.000020	0.000001	0.000001	0.000027	0.000001	0.000028	0.000040	-0.000000	-1795430.080468	58	-1795430.922343	0.993922	4.975286e-01,1.548884e-01,2.249977e-02,1.561882e-01,1.029192e-01,1.992770e-02,2.107719e-02,1.894279e-02,6.028095e-03	0.423409	0.261532	0.028366	-2075583.185360	6
1	7	s11	s17	1372877	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000002	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000001	-1807139.530707	50	-1807140.012508	0.994125	4.713539e-01,1.839062e-01,1.962405e-02,1.576902e-01,1.032628e-01,1.806171e-02,2.096608e-02,1.964175e-02,5.493356e-03	0.393076	0.245928	0.037695	-2100599.029764	6
1	8	s11	s18	1372593	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000010	0.000001	0.000001	0.000006	0.000001	0.000001	0.000000	0.000001	0.000001	0.000010	0.000000	-1809963.325151	54	-1809964.027399	0.993920	4.793829e-01,1.746949e-01,2.080516e-02,1.539684e-01,1.057178e-01,1.936095e-02,2.097329e-02,1.903120e-02,6.065275e-03	0.395188	0.258584	0.038308	-2098453.779896	6
1	9	s11	s19	1372571	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	-1782718.820085	86	-1782718.946677	0.993904	4.887671e-01,1.652442e-01,2.080426e-02,1.573761e-01,1.037855e-01,1.790998e-02,2.147700e-02,1.926070e-02,5.375180e-03	0.407391	0.258126	0.033881	-2078378.049144	6
1	10	s11	S1	1372973	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000005	0.000002	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000007	0.000002	-1810457.304202	50	-1810458.057075	0.994195	4.758180e-01,1.770349e-01,2.199985e-02,1.566889e-01,1.030359e-01,1.933653e-02,2.102741e-02,1.907353e-02,5.984897e-03	0.417595	0.248183	0.029369	-2106000.510586	6
1	11	s11	s20	1374696	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000016	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	0.000008	-2052510.442409	62	-2052511.359770	0.995442	2.508978e-01,4.239708e-01,1.127664e-05,5.971994e-02,2.192230e-01,1.069455e-04,3.534254e-03,4.215724e-02,3.786874e-04	0.016173	0.414019	0.219962	-1875617.628377	9
1	12	s11	S2	1372742	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000052	0.000000	0.000000	0.000026	0.000000	0.000000	0.000045	0.000000	0.000045	0.000052	-0.000000	-1789885.272692	70	-1789885.744833	0.994027	4.988472e-01,1.548480e-01,2.116349e-02,1.558350e-01,1.037002e-01,1.952400e-02,2.074365e-02,1.912071e-02,6.217873e-03	0.404118	0.265059	0.035719	-2069780.796550	6
1	13	s11	s3	1372870	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000001	0.000004	-0.000000	-1784932.385052	90	-1784932.550230	0.994120	4.963167e-01,1.576916e-01,2.085376e-02,1.560629e-01,1.040788e-01,1.892472e-02,2.113764e-02,1.910708e-02,5.826836e-03	0.403458	0.264309	0.035889	-2071159.936141	6
1	14	s11	s4	1372679	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000010	0.000001	0.000001	0.000006	0.000001	0.000001	0.000000	0.000001	0.000001	0.000010	0.000000	-1809337.709827	54	-1809338.426507	0.993982	4.810959e-01,1.720314e-01,2.179010e-02,1.560369e-01,1.030581e-01,1.993314e-02,2.103862e-02,1.872566e-02,6.290291e-03	0.415579	0.251634	0.030376	-2099611.279691	6
1	15	s11	s5	1372472	0.989940	0.000000	0.000000	0.010060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005030	-0.005030	-1827908.870487	86	-1	0.993832	4.805615e-01,1.653285e-01,2.897538e-02,1.621398e-01,9.450948e-02,2.238315e-02,2.250494e-02,1.702945e-02,6.567800e-03	0.544711	0.225904	-0.015203	-2120207.604012	6
