a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
1	11	1382	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	-1941.468422	54	-1941.468747	0.207352	2.988891e-01,2.110950e-01,1.565040e-07,2.364123e-01,2.536033e-01,1.008713e-09,1.529737e-10,2.895144e-11,1.884783e-07	0.000001	0.566702	0.265632	-2078.054145	31
1	12	1452	0.939089	0.000002	0.060908	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.060910	0.000001	0.000001	0.030455	0.000001	0.000001	0.060908	0.000001	0.060909	0.060910	-0.000000	-2078.184419	78	-1	0.217854	2.951890e-01,2.098744e-01,4.725204e-11,1.636767e-01,3.312528e-01,6.312588e-13,5.351262e-06,1.126745e-11,1.791329e-06	0.000016	0.886754	0.319714	-2173.295737	47
1	13	1680	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000015	0.000000	0.000000	0.000008	0.000000	0.000000	0.000015	0.000000	0.000015	0.000015	-0.000000	-2377.451732	86	-2377.452423	0.252063	2.757324e-01,2.135447e-01,5.541899e-07,2.130473e-01,2.976739e-01,3.795376e-07,7.995601e-07,7.816207e-09,1.318448e-09	0.000005	0.697792	0.291280	-2498.342992	26
1	14	1448	0.975999	0.000001	0.023998	0.000000	0.000000	0.000001	0.000001	0.000000	0.000001	0.024000	0.000003	0.000002	0.012001	0.000002	0.000001	0.023998	0.000001	0.023999	0.024001	0.000000	-1974.845646	102	-1	0.217254	3.087024e-01,1.773134e-01,1.195072e-07,1.916395e-01,3.223403e-01,1.469702e-08,3.776504e-06,2.547047e-07,3.308832e-07	0.000012	0.873653	0.317997	-2078.146127	27
1	15	1478	0.912936	0.000000	0.087064	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.087064	0.000000	0.000000	0.043532	0.000000	0.000000	0.087064	0.000000	0.087064	0.087064	0.000000	-2037.503475	298	-1	0.221755	3.077291e-01,1.811807e-01,2.466499e-09,1.771043e-01,3.339855e-01,1.298437e-09,2.259538e-07,6.043605e-08,2.627507e-08	0.000001	0.932178	0.325440	-2153.683189	26
1	16	1546	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000024	0.000001	0.000002	0.000012	0.000000	0.000000	0.000024	0.000000	0.000024	0.000025	-0.000000	-2185.309043	86	-2185.309866	0.231958	2.976113e-01,1.759686e-01,3.946039e-09,2.208145e-01,3.056049e-01,1.706574e-09,2.331254e-10,7.469290e-07,1.139644e-09	0.000000	0.770205	0.303181	-2327.007065	26
1	17	1496	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000000	0.000000	0.000003	0.000000	0.000000	0.000005	0.000000	0.000005	0.000005	0.000000	-2184.934830	74	-2184.935166	0.224456	2.813622e-01,2.158480e-01,7.059502e-08,2.225321e-01,2.802563e-01,3.943704e-08,6.673756e-07,5.051819e-07,1.014848e-07	0.000003	0.639298	0.280565	-2266.704690	23
1	18	1476	0.886468	0.000003	0.113529	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.113530	0.000000	0.000000	0.056765	0.000000	0.000000	0.113529	0.000000	0.113529	0.113530	0.000000	-2005.408350	78	-1	0.221455	3.144041e-01,1.725056e-01,7.221519e-07,1.747907e-01,3.382979e-01,3.804560e-07,8.805771e-10,3.298580e-07,2.431093e-07	0.000002	0.974086	0.330402	-2118.623681	23
1	19	1549	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000002	0.000000	0.000000	0.000003	0.000000	0.000003	0.000003	-0.000000	-2150.157594	74	-2150.157724	0.232408	2.698687e-01,2.332633e-01,8.518958e-10,1.845060e-01,3.123613e-01,4.196307e-09,4.474289e-07,4.089942e-10,2.463250e-07	0.000001	0.747688	0.299629	-2243.199219	22
2	3	1365	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000017	0.000000	0.000000	0.000008	0.000000	0.000000	0.000017	0.000000	0.000017	0.000017	0.000000	-1997.170702	90	-1997.170966	0.204801	2.930876e-01,2.202261e-01,1.691019e-08,1.899295e-01,2.967567e-01,2.222831e-09,5.434062e-08,1.248261e-08,4.454347e-08	0.000000	0.723522	0.295672	-2096.449783	22
