a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
2	3	1372751	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	-0.000000	-1803957.157530	86	-1803957.378068	0.994034	4.880886e-01,1.579326e-01,2.148274e-02,1.635790e-01,1.054429e-01,1.928832e-02,2.046415e-02,1.804631e-02,5.675323e-03	0.397816	0.263086	0.037823	-2081574.831035	6
2	4	1372802	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000001	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000	-1818223.300457	42	-1818223.806585	0.994071	4.605381e-01,1.860552e-01,2.090681e-02,1.653463e-01,1.047778e-01,1.819099e-02,2.074464e-02,1.804346e-02,5.396791e-03	0.397522	0.244074	0.035960	-2114742.627018	6
2	5	1373565	0.547241	0.197480	0.255279	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.354019	0.000000	0.000000	0.177009	0.000000	0.000000	0.255279	0.000000	0.255279	0.354019	-0.000000	-1744538.636166	82	-1	0.994623	5.370858e-01,1.203842e-01,9.970467e-03,1.032876e-01,1.671944e-01,1.779977e-02,9.601767e-03,1.750243e-02,1.717369e-02	0.117063	0.600239	0.215804	-1960896.653535	6
2	6	1372851	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000014	0.000003	0.000004	0.000008	0.000003	0.000003	0.000000	0.000003	0.000003	0.000014	-0.000000	-1804609.251851	54	-1804610.322207	0.994106	4.899953e-01,1.547288e-01,2.280643e-02,1.639347e-01,1.043333e-01,1.999542e-02,2.086051e-02,1.765793e-02,5.687535e-03	0.418533	0.260844	0.030088	-2083632.741419	6
2	7	1373109	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000002	0.000002	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000003	0.000000	-1816287.066968	54	-1816287.713367	0.994293	4.633011e-01,1.841456e-01,2.008729e-02,1.660921e-01,1.042045e-01,1.795232e-02,2.059107e-02,1.850361e-02,5.122394e-03	0.390370	0.243826	0.038393	-2108217.366611	6
2	8	1372712	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000001	0.000001	0.000004	0.000001	0.000001	0.000000	0.000001	0.000001	0.000007	0.000000	-1818999.099520	70	-1818999.823974	0.994006	4.689251e-01,1.771262e-01,2.146955e-02,1.649373e-01,1.041455e-01,1.919099e-02,2.046171e-02,1.815737e-02,5.586319e-03	0.402622	0.247175	0.034512	-2108445.535471	6
2	9	1372771	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000000	-1791669.410466	46	-1791669.891705	0.994048	4.812271e-01,1.654013e-01,2.084982e-02,1.654804e-01,1.046481e-01,1.815633e-02,2.093504e-02,1.818800e-02,5.113950e-03	0.399289	0.255856	0.036561	-2085511.997798	6
2	10	1373121	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	-1819168.012819	50	-1819168.359248	0.994302	4.685328e-01,1.773381e-01,2.165684e-02,1.645743e-01,1.037810e-01,1.990694e-02,2.041615e-02,1.803669e-02,5.757160e-03	0.405402	0.245968	0.033426	-2112163.570632	6
2	11	1374922	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000003	-2061709.279893	46	-2061709.781623	0.995606	2.423392e-01,4.251770e-01,1.080042e-05,6.822683e-02,2.199414e-01,1.127870e-04,3.532538e-03,4.029654e-02,3.628750e-04	0.016110	0.409303	0.218605	-1886330.259489	9
2	12	1372887	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000001	0.000004	-0.000000	-1798894.638799	58	-1798894.865348	0.994132	4.905386e-01,1.555725e-01,2.138388e-02,1.643598e-01,1.042487e-01,1.970534e-02,2.059226e-02,1.776059e-02,5.838389e-03	0.402654	0.261030	0.035866	-2078411.361419	6
2	13	1373104	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	-0.000000	-1794344.919410	50	-1794345.313245	0.994290	4.875820e-01,1.580745e-01,2.182892e-02,1.646392e-01,1.049722e-01,1.867080e-02,2.127158e-02,1.782023e-02,5.140574e-03	0.410590	0.260927	0.032981	-2081113.713243	6
2	14	1372881	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	-0.000000	-1818404.751320	94	-1818404.950217	0.994128	4.737044e-01,1.718098e-01,2.199966e-02,1.640582e-01,1.040542e-01,2.019348e-02,2.034117e-02,1.801258e-02,5.826492e-03	0.406911	0.249881	0.033276	-2106753.904055	6
2	15	1372748	0.989987	0.000000	0.000000	0.010013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005006	-0.005006	-1837228.601814	94	-1	0.994032	4.711508e-01,1.661298e-01,3.020141e-02,1.713879e-01,9.483689e-02,2.203987e-02,2.262474e-02,1.593486e-02,5.693770e-03	0.557021	0.221417	-0.019137	-2129445.429365	6
2	16	1372831	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	-1821555.568482	46	-1821555.729415	0.994092	4.705524e-01,1.745918e-01,2.237924e-02,1.643835e-01,1.045693e-01,1.932665e-02,2.071097e-02,1.773927e-02,5.746916e-03	0.412073	0.249491	0.031424	-2109922.729189	6
2	17	1373309	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000001	0.000001	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000006	0.000000	-1796309.444370	46	-1796310.095780	0.994438	4.802375e-01,1.660406e-01,2.118431e-02,1.653164e-01,1.052256e-01,1.775935e-02,2.099600e-02,1.797978e-02,5.260448e-03	0.400856	0.257102	0.036127	-2088490.759136	6
2	18	1372916	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	-0.000000	-1800976.418896	102	-1800976.657316	0.994153	4.906029e-01,1.548575e-01,2.206193e-02,1.644334e-01,1.041864e-01,1.963652e-02,2.036510e-02,1.813627e-02,5.720052e-03	0.407223	0.260798	0.034190	-2079884.607644	6
2	19	1373070	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	-0.000000	-1800267.346259	78	-1800267.588986	0.994265	4.838172e-01,1.622886e-01,2.141268e-02,1.641838e-01,1.045993e-01,1.949158e-02,2.050782e-02,1.824583e-02,5.453233e-03	0.400772	0.257551	0.036202	-2087951.507027	6
3	4	1372461	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000005	0.000002	0.000004	0.000002	0.000002	0.000000	0.000002	0.000002	0.000007	0.000001	-1815659.649716	50	-1815660.628983	0.993824	4.672268e-01,1.844983e-01,2.043347e-02,1.579312e-01,1.050585e-01,1.841239e-02,2.147667e-02,1.934289e-02,5.619894e-03	0.398922	0.248898	0.035979	-2111288.994209	6
3	5	1372467	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000008	0.000003	0.000005	0.000003	0.000003	0.000000	0.000003	0.000003	0.000008	0.000002	-1825084.530161	62	-1825085.637308	0.993828	4.697299e-01,1.816199e-01,2.075532e-02,1.586317e-01,1.042819e-01,1.854508e-02,2.155576e-02,1.931829e-02,5.562084e-03	0.405738	0.248039	0.033510	-2108879.036283	6
3	6	1372494	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000022	0.000000	0.000000	0.000011	0.000000	0.000000	0.000019	0.000000	0.000019	0.000022	-0.000000	-1802267.808010	78	-1802268.205380	0.993848	4.953527e-01,1.540079e-01,2.279351e-02,1.577304e-01,1.040224e-01,1.967296e-02,2.168383e-02,1.875485e-02,5.981473e-03	0.427575	0.263586	0.026993	-2080705.888366	6
3	7	1372697	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000009	0.000002	0.000003	0.000001	0.000002	0.000000	0.000001	0.000001	0.000008	0.000004	-1813542.809362	62	-1813543.869545	0.993995	4.689478e-01,1.829155e-01,2.030232e-02,1.591803e-01,1.047090e-01,1.748511e-02,2.194765e-02,1.914233e-02,5.369964e-03	0.403499	0.248731	0.034361	-2106020.065409	6
3	8	1372433	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	0.000001	0.000001	0.000005	0.000001	0.000001	0.000000	0.000001	0.000001	0.000009	0.000000	-1816500.572789	69	-1816501.189319	0.993804	4.780394e-01,1.730323e-01,2.109399e-02,1.555659e-01,1.066737e-01,1.917841e-02,2.074185e-02,1.969500e-02,5.979484e-03	0.392185	0.260620	0.039603	-2102467.661370	6
3	9	1372385	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	-1789173.528411	50	-1789173.743058	0.993769	4.859694e-01,1.652045e-01,2.093056e-02,1.598306e-01,1.037839e-01,1.780755e-02,2.178799e-02,1.933064e-02,5.354903e-03	0.411611	0.256325	0.032202	-2083534.979230	6
3	10	1372847	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000004	0.000004	0.000006	0.000004	0.000004	0.000000	0.000004	0.000004	0.000007	0.000000	-1817047.840662	66	-1817048.799724	0.994104	4.744417e-01,1.759275e-01,2.178647e-02,1.579813e-01,1.038321e-01,1.959621e-02,2.109501e-02,1.938935e-02,5.950488e-03	0.412989	0.249731	0.031124	-2109776.267772	6
3	11	1374536	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000002	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	-0.000000	-2059150.270320	67	-2059152.648371	0.995327	2.494261e-01,4.227320e-01,6.760476e-06,6.092323e-02,2.203774e-01,1.017834e-04,3.730315e-03,4.232656e-02,3.757799e-04	0.016958	0.415947	0.220206	-1880591.946473	9
3	12	1372607	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000024	0.000000	0.000000	0.000012	0.000000	0.000000	0.000018	0.000000	0.000018	0.000024	-0.000000	-1796567.574763	78	-1796567.914429	0.993930	4.968048e-01,1.540772e-01,2.127044e-02,1.575899e-01,1.043327e-01,1.948690e-02,2.109527e-02,1.920340e-02,6.139353e-03	0.406063	0.265665	0.035064	-2074596.502555	6
3	13	1372732	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000090	0.000001	0.000001	0.000045	0.000001	0.000001	0.000088	0.000001	0.000089	0.000090	0.000000	-1791680.333215	94	-1791680.975949	0.994020	4.955357e-01,1.563774e-01,2.023114e-02,1.569828e-01,1.053016e-01,1.913936e-02,2.095059e-02,1.926300e-02,6.218414e-03	0.391084	0.267981	0.040789	-2073727.346721	6
