a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
7	13	1694	0.991210	0.000003	0.008787	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008789	0.000000	0.000000	0.004394	0.000000	0.000000	0.008787	0.000000	0.008787	0.008789	0.000000	-2559.084529	126	-1	0.254164	2.929297e-01,2.268951e-01,1.321765e-07,1.856542e-01,2.945208e-01,9.688657e-12,3.812824e-08,1.665511e-10,7.395853e-10	0.000001	0.713904	0.294053	-2656.606668	30
7	14	1469	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	-2164.723466	90	-2164.723599	0.220405	2.525997e-01,2.615757e-01,4.497064e-07,2.236313e-01,2.621929e-01,5.911672e-10,1.417361e-09,1.628889e-08,1.978290e-09	0.000002	0.540373	0.259701	-2243.514310	30
7	15	1544	0.943654	0.000002	0.056343	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.056344	0.000001	0.000001	0.028172	0.000000	0.000000	0.056344	0.000000	0.056344	0.056345	0.000000	-2290.276438	82	-1	0.231658	3.102471e-01,2.170895e-01,9.371845e-09,1.707310e-01,2.992930e-01,4.621984e-07,2.220892e-07,1.920711e-07,2.638571e-03	0.000001	0.771729	0.303417	-2400.818820	30
7	16	1574	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000	0.000000	0.000002	0.000000	0.000000	0.000004	0.000000	0.000004	0.000004	-0.000000	-2269.177866	66	-2269.177995	0.236159	3.044963e-01,1.982747e-01,1.069985e-07,2.107001e-01,2.865284e-01,5.031745e-09,9.655246e-08,7.878472e-08,1.589169e-07	0.000001	0.700601	0.291771	-2393.921811	22
7	17	1563	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000	0.000001	0.000001	-0.000000	-2376.354568	70	-2376.354666	0.234509	2.898030e-01,2.148214e-01,1.221151e-08,2.163806e-01,2.789944e-01,5.139113e-07,2.594630e-08,3.111980e-09,4.711573e-08	0.000000	0.647015	0.282043	-2478.751102	26
7	18	1524	0.950875	0.000006	0.049114	0.000002	0.000000	0.000002	0.000000	0.000000	0.000001	0.049118	0.000003	0.000003	0.024559	0.000001	0.000001	0.049114	0.000001	0.049115	0.049120	0.000000	-2256.180007	63	-1	0.228657	2.877647e-01,2.285492e-01,3.740045e-08,1.698448e-01,3.138412e-01,5.621537e-08,1.589771e-08,7.132851e-09,2.431017e-08	0.000000	0.787766	0.305865	-2326.011317	23
7	19	1545	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000012	0.000000	0.000000	0.000006	0.000000	0.000000	0.000012	0.000000	0.000012	0.000012	-0.000000	-2329.280187	70	-2329.280630	0.231808	2.511125e-01,2.470926e-01,6.847598e-09,1.977599e-01,3.040342e-01,3.406532e-09,1.886180e-08,7.685598e-07,1.077096e-08	0.000000	0.683448	0.288753	-2386.094628	22
8	9	1362	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000316	0.000000	0.000000	0.000158	0.000000	0.000000	0.000316	0.000000	0.000316	0.000316	-0.000000	-1966.813081	202	-1966.814013	0.204351	2.811549e-01,1.889773e-01,2.610879e-09,2.270357e-01,3.028317e-01,6.419318e-08,1.770525e-07,2.639623e-07,1.628304e-08	0.000001	0.727937	0.296406	-2032.149279	22
8	10	1656	0.922801	0.000000	0.077197	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.077198	0.000001	0.000000	0.038599	0.000000	0.000000	0.077197	0.000000	0.077197	0.077198	0.000000	-2456.965503	62	-1	0.248462	2.584783e-01,2.089914e-01,4.319128e-09,1.719121e-01,3.606180e-01,3.433361e-09,2.802547e-08,3.844361e-09,2.120903e-08	0.000000	0.946744	0.327198	-2483.089241	19
8	11	1460	0.897434	0.000027	0.102538	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.102552	0.000000	0.000000	0.051276	0.000000	0.000000	0.102538	0.000000	0.102538	0.102552	-0.000000	-2059.582961	70	-1	0.219055	3.201809e-01,1.403242e-01,4.616491e-09,2.110598e-01,3.284345e-01,3.874584e-09,7.670305e-08,2.966413e-07,1.871639e-07	0.000000	0.934687	0.325746	-2148.769895	22
